SNO,NAME OF COMPANY,SYMBOL
1267,Sasken Technologies Limited,SASKEN
1268,Sastasundar Ventures Limited,SASTASUNDR
1269,Sathavahana Ispat Limited,SATHAISPAT
1270,Satia Industries Limited,SATIA
1271,Satin Creditcare Network Limited,SATIN
1272,SBI Life Insurance Company Limited,SBILIFE
1273,State Bank of India,SBIN
1274,Stampede Capital Limited,SCAPDVR
1275,Schaeffler India Limited,SCHAEFFLER
1276,S Chand And Company Limited,SCHAND
1277,Schneider Electric Infrastructure Limited,SCHNEIDER
1278,Shipping Corporation Of India Limited,SCI
1279,Som Distilleries & Breweries Limited,SDBL
1280,Seamec Limited,SEAMECLTD
1281,Selan Exploration Technology Limited,SELAN
1282,SEL Manufacturing Company Limited,SELMCL
1283,S.E. Power Limited,SEPOWER
1284,Sequent Scientific Limited,SEQUENT
1285,Seshasayee Paper and Boards Limited,SESHAPAPER
1286,Setco Automotive Limited,SETCO
1287,Setubandhan Infrastructure Limited,SETUINFRA
1288,Seya Industries Limited,SEYAIND
1289,Sezal Glass Limited,SEZAL
1290,Sheela Foam Limited,SFL
1291,STL Global Limited,SGL
1292,Shah Alloys Limited,SHAHALLOYS
1293,Shakti Pumps (India) Limited,SHAKTIPUMP
1294,Shalby Limited,SHALBY
1295,Shalimar Paints Limited,SHALPAINTS
1296,Shankara Building Products Limited,SHANKARA
1297,Shanthi Gears Limited,SHANTIGEAR
1298,Sharda Cropchem Limited,SHARDACROP
1299,Sharda Motor Industries Limited,SHARDAMOTR
1300,Shemaroo Entertainment Limited,SHEMAROO
1301,Shilpa Medicare Limited,SHILPAMED
1302,Shirpur Gold Refinery Limited,SHIRPUR-G
1303,Shivam Autotech Limited,SHIVAMAUTO
1304,Shiva Mills Limited,SHIVAMILLS
1305,Shiva Texyarn Limited,SHIVATEX
1306,S H Kelkar and Company Limited,SHK
1307,Shoppers Stop Limited,SHOPERSTOP
1308,Shree Digvijay Cement Co.Ltd,SHREDIGCEM
1309,SHREE CEMENT LIMITED,SHREECEM
1310,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
1311,Shree Rama Multi-Tech Limited,SHREERAMA
1312,Shrenik Limited,SHRENIK
1313,Shreyans Industries Limited,SHREYANIND
1314,Shreyas Shipping & Logistics Limited,SHREYAS
1315,Shriram Pistons & Rings Limited,SHRIPISTON
1316,Shriram City Union Finance Limited,SHRIRAMCIT
1317,Shriram EPC Limited,SHRIRAMEPC
1318,Shyam Century Ferrous Limited,SHYAMCENT
1319,Shyam Telecom Limited,SHYAMTEL
1320,Sicagen India Limited,SICAGEN
1321,Sical Logistics Limited,SICAL
1322,Siemens Limited,SIEMENS
1323,Signet Industries Limited,SIGIND
1324,Standard Industries Limited,SIL
1325,SIL Investments Limited,SILINV
1326,Simbhaoli Sugars Limited,SIMBHALS
1327,Simplex Infrastructures Limited,SIMPLEXINF
1328,Sintex Industries Limited,SINTEX
1329,Sirca Paints India Limited,SIRCA
1330,Security and Intelligence Services (India) Limited,SIS
1331,Siti Networks Limited,SITINET
1332,Siyaram Silk Mills Limited,SIYSIL
1333,SJVN Limited,SJVN
1334,SKF India Limited,SKFINDIA
1335,SKIL Infrastructure Limited,SKIL
1336,Skipper Limited,SKIPPER
1337,SKM Egg Products Export (India) Limited,SKMEGGPROD
1338,Smartlink Holdings Limited,SMARTLINK
1339,SML Isuzu Limited,SMLISUZU
1340,Splendid Metal Products Limited,SMPL
1341,SMS Lifesciences India Limited,SMSLIFE
1342,SMS Pharmaceuticals Limited,SMSPHARMA
1343,Snowman Logistics Limited,SNOWMAN
1344,Sobha Limited,SOBHA
1345,Solara Active Pharma Sciences Limited,SOLARA
1346,Solar Industries India Limited,SOLARINDS
1347,Somany Ceramics Limited,SOMANYCERA
1348,Soma Textiles & Industries Limited,SOMATEX
1349,Somi Conveyor Beltings Limited,SOMICONVEY
1350,Sonata Software Limited,SONATSOFTW
1351,SORIL Infra Resources Limited,SORILINFRA
1352,Savita Oil Technologies Limited,SOTL
1353,The South Indian Bank Limited,SOUTHBANK
1354,South West Pinnacle Exploration Limited,SOUTHWEST
1355,S. P. Apparels Limited,SPAL
1356,Spandana Sphoorty Financial Limited,SPANDANA
1357,Sun Pharma Advanced Research Company Limited,SPARC
1358,Spacenet Enterprises India Limited,SPCENET
1359,Speciality Restaurants Limited,SPECIALITY
1360,Spencer’s Retail Limited,SPENCERS
1361,Spentex Industries Limited,SPENTEX
1362,Southern Petrochemicals Industries Corporation Limited,SPIC
1363,SPICEJET LTD,SPICEJET
1364,SPL Industries Limited,SPLIL
1365,SPML Infra Limited,SPMLINFRA
1366,Sintex Plastics Technology Limited,SPTL
1367,Shekhawati Poly-Yarn Limited,SPYL
1368,Sreeleathers Limited,SREEL
1369,SREI Infrastructure Finance Limited,SREINFRA
1370,SRF Limited,SRF
1371,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
1372,Srikalahasthi Pipes Limited,SRIPIPES
1373,Shriram Transport Finance Company Limited,SRTRANSFIN
1374,Steel Strips Wheels Limited,SSWL
1375,Stampede Capital Limited,STAMPEDE
1376,Strides Pharma Science Limited,STAR
1377,Star Cement Limited,STARCEMENT
1378,Star Paper Mills Limited,STARPAPER
1379,The State Trading Corporation of India Limited,STCINDIA
1380,Steel City Securities Limited,STEELCITY
1381,STEEL EXCHANGE INDIA LIMITED,STEELXIND
1382,Stel Holdings Limited,STEL
